route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,exact_times
"1-10M-sj2-2","700","10M","Chatswood, then all stations to Epping","Temporary buses","714","00B5EF","FFFFFF","1"
"1-14S-C-sj2-2","700","14SC","Thirroul, then all stations to Dapto","Temporary buses","714","00B5EF","FFFFFF","1"
"1-1T3-sj2-1","700","1T3","Central, then all stations to Sydenham","Temporary buses","714","00B5EF","FFFFFF","1"
"1-27S-C-sj2-2","700","27SC","Wollongong, then all stations to Port Kembla","Temporary buses","714","00B5EF","FFFFFF","1"
"1-27S-C-sj2-4","700","27SC","Wollongong, then all stations to Port Kembla","Temporary buses","714","00B5EF","FFFFFF","1"
"1-27S-C-sj2-5","700","27SC","Wollongong, then all stations to Port Kembla","Temporary buses","714","00B5EF","FFFFFF","1"
"1-29S-C-sj2-3","700","29SC","Helensburgh Station, Helensburgh (Charles Harper Park), then Otford Station","Temporary buses","714","00B5EF","FFFFFF","1"
"1-36C-N-sj2-1","700","36CN","Hornsby, Berowra, Cardiff, Broadmeadow, then all to Newcastle","Temporary buses","714","00B5EF","FFFFFF","1"
"1-37C-N-sj2-1","700","37CN","Hornsby, Berowra, tuggerah, Wyong, Morisset, Fassifern, Cardiff, Broadmeadow, all to Newcastle","Temporary buses","714","00B5EF","FFFFFF","1"
"1-38C-N-sj2-1","700","38CN","Hornsby, Berowra, Pt Clare, then all stations to Woy Woy","Temporary buses","714","00B5EF","FFFFFF","1"
"1-3AT-4-sj2-1","700","3AT4","Central, then Hurstville","Temporary buses","714","00B5EF","FFFFFF","1"
"1-41C-N-sj2-1","700","41CN","Fassifern then all stations to Newcastle","Temporary buses","714","00B5EF","FFFFFF","1"
"1-44T-2-sj2-1","700","44T2","Central, Stanmore, then all stations to Strathfield","Temporary buses","714","00B5EF","FFFFFF","1"
"1-5SH-sj2-2","700","5SH","Moss Vale, then all stations to Goulburn","Temporary buses","714","00B5EF","FFFFFF","1"
"1-60B-M-sj2-1","700","60BM","Blacktown, then Penrith, then Springwood","Temporary buses","714","00B5EF","FFFFFF","1"
"1-61B-M-sj2-1","700","61BM","Strathfield, then express to Springwood","Temporary buses","714","00B5EF","FFFFFF","1"
"1-61C-N-sj2-4","700","61CN","Hornsby, Berowra, Gosford, then all stations to Wyong","Temporary buses","714","00B5EF","FFFFFF","1"
"1-61S-C-sj2-2","700","61SC","Wollongong, Kiama, then all stations to Bomaderry (Nowra)","Temporary buses","714","00B5EF","FFFFFF","1"
"1-62S-C-sj2-3","700","62SC","Wollongong, then all stations to Kiama","Temporary buses","714","00B5EF","FFFFFF","1"
"1-64S-C-sj2-1","700","64SC","Sutherland, then all stations to Thirroul","Temporary buses","714","00B5EF","FFFFFF","1"
"1-6SH-sj2-2","700","6SH","Campbelltown, then all stations to Moss Vale","Temporary buses","714","00B5EF","FFFFFF","1"
